ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_DAPI,Intensity_IntegratedIntensityEdge_PI,Intensity_IntegratedIntensity_DAPI,Intensity_IntegratedIntensity_PI,Intensity_LowerQuartileIntensity_DAPI,Intensity_LowerQuartileIntensity_PI,Intensity_MADIntensity_DAPI,Intensity_MADIntensity_PI,Intensity_MassDisplacement_DAPI,Intensity_MassDisplacement_PI,Intensity_MaxIntensityEdge_DAPI,Intensity_MaxIntensityEdge_PI,Intensity_MaxIntensity_DAPI,Intensity_MaxIntensity_PI,Intensity_MeanIntensityEdge_DAPI,Intensity_MeanIntensityEdge_PI,Intensity_MeanIntensity_DAPI,Intensity_MeanIntensity_PI,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_PI,Intensity_MinIntensityEdge_DAPI,Intensity_MinIntensityEdge_PI,Intensity_MinIntensity_DAPI,Intensity_MinIntensity_PI,Intensity_StdIntensityEdge_DAPI,Intensity_StdIntensityEdge_PI,Intensity_StdIntensity_DAPI,Intensity_StdIntensity_PI,Intensity_UpperQuartileIntensity_DAPI,Intensity_UpperQuartileIntensity_PI,Number_Object_Number
1,1,5.066987116,4.504585367,63.66144806,26.98083477,0.060006103,0.035172045,0.019913025,0.001007095,0.365989173,0.071353462,0.056656748,0.039337758,0.148210883,0.042130161,0.040214183,0.035750678,0.085337062,0.036167339,0.0923476,0.036133364,0.031815059,0.03138781,0.031815059,0.03138781,0.005757129,0.001565864,0.02909437,0.001506716,0.107881285,0.037224384,1
1,2,4.461615922,3.758312358,52.94338893,20.97895789,0.055275807,0.033928435,0.033432513,0.001693752,0.482913202,0.127835541,0.054535743,0.038635843,0.157320514,0.040787365,0.039136982,0.032967652,0.089130284,0.035318111,0.090577558,0.035614558,0.029816128,0.028015565,0.029816128,0.027481498,0.005620059,0.002464073,0.036907669,0.002593062,0.121820401,0.037315939,2
1,3,4.838345952,2.810543999,31.12733661,12.37578396,0.064606696,0.030098421,0.014518961,0.000991836,0.316345855,0.105791353,0.068131536,0.034424353,0.120698862,0.035324637,0.052590717,0.030549391,0.078406389,0.031173259,0.079522394,0.031082628,0.038941026,0.027512016,0.038941026,0.027512016,0.007579035,0.001565691,0.019099395,0.001467346,0.092366673,0.032089721,3
1,4,3.235828208,3.306370646,38.79789438,18.31837955,0.040070193,0.03262379,0.028778516,0.000976577,0.469038973,0.144961634,0.043869689,0.036102846,0.133516446,0.036926832,0.031723806,0.032415398,0.071058415,0.033550146,0.072861828,0.033615626,0.026749065,0.028747998,0.026749065,0.028747998,0.003096106,0.001483492,0.03048227,0.001441766,0.096673533,0.034584574,4
1,5,3.967391476,3.223300528,37.44310677,15.36977189,0.056351568,0.032898452,0.027031358,0.001403829,0.185508522,0.148325741,0.055924315,0.03883421,0.142732888,0.03883421,0.041326995,0.033576047,0.08339222,0.034231118,0.085503928,0.034493018,0.031708248,0.028244449,0.031708248,0.028152896,0.005772621,0.002650273,0.030331478,0.002117963,0.110894941,0.035671778,5
1,6,3.642587954,3.405142309,41.36414133,16.9703365,0.04475471,0.032547493,0.034653239,0.001190204,0.14579796,0.215146832,0.049973298,0.037537195,0.165331498,0.038788434,0.035711647,0.033383748,0.082398688,0.033805451,0.082093537,0.033707179,0.028625926,0.030655375,0.028625926,0.029587243,0.004644262,0.001791831,0.037384314,0.001683649,0.113855191,0.03494316,6
1,7,4.31679257,4.477180127,31.36792562,23.82043188,0.041351948,0.034897383,0.0062562,0.000869766,0.361845498,0.105043119,0.054612041,0.039597161,0.070389867,0.040161747,0.034812843,0.036106291,0.047098987,0.035766414,0.048294805,0.035721369,0.026077669,0.032562751,0.026077669,0.032166019,0.007046662,0.001322216,0.009035081,0.001289855,0.053887237,0.03665217,7
1,8,4.867002387,4.065171309,76.83752207,25.45500887,0.060227361,0.033768214,0.044174865,0.001800567,0.746004799,0.307376939,0.059983216,0.040894181,0.209842071,0.041290913,0.040558353,0.033876428,0.107314975,0.035551688,0.106645301,0.035446707,0.031448845,0.02716106,0.031448845,0.02716106,0.00606043,0.002904112,0.049776566,0.002441795,0.149538413,0.037415121,8
1,9,3.629190534,3.643808655,38.93781957,19.52538347,0.049370565,0.033718623,0.01605249,0.000930797,0.108705189,0.099419267,0.049042497,0.039078355,0.127519652,0.039276723,0.034237647,0.034375553,0.069161314,0.034680965,0.073418785,0.034546427,0.026932174,0.031189442,0.026932174,0.031006332,0.004834323,0.001657063,0.023147468,0.001468443,0.086091399,0.035572596,9
1,10,5.247821793,4.0378424,50.69967194,22.24086373,0.055512321,0.033833068,0.024109254,0.001350425,0.775851919,0.102642779,0.056275275,0.038681619,0.135835811,0.040680554,0.043731848,0.033648687,0.080094268,0.035135646,0.079896238,0.035080492,0.033813994,0.02980087,0.033813994,0.02980087,0.005415946,0.001867978,0.027369265,0.001969187,0.10361257,0.036480505,10
1,11,5.795468079,5.175265118,79.11270329,35.62735947,0.060074769,0.035263598,0.020737007,0.001678493,0.231112987,0.112728048,0.055451285,0.040451668,0.144106209,0.04711986,0.039694987,0.035447021,0.082409066,0.037111833,0.086472876,0.036697946,0.029465171,0.030746929,0.029465171,0.030670634,0.005864444,0.002024644,0.027424341,0.002695796,0.103150986,0.038788434,11
1,12,5.45790798,4.938094174,121.073106,34.94351125,0.064290076,0.036060885,0.048172733,0.001815824,1.646528262,0.03966388,0.05551232,0.040299077,0.424963772,0.045258258,0.039550058,0.035783291,0.131458313,0.037940837,0.104943924,0.037689783,0.031128405,0.030899519,0.031128405,0.030899519,0.005193502,0.001851051,0.089100658,0.002672191,0.169882502,0.039791714,12
1,13,3.36902418,1.571725033,7.865644306,3.254459463,0.048710612,0.033615626,0.029381247,0.000633249,0.822360666,0.022779664,0.132036313,0.036575876,0.132036313,0.036575876,0.073239656,0.034167936,0.082796256,0.034257468,0.087655451,0.03416495,0.033020522,0.032181278,0.033020522,0.031906616,0.037014003,0.001082112,0.032244345,0.001035468,0.111936372,0.034855422,13
1,14,4.325017191,4.178332198,29.72027168,21.25528349,0.041348135,0.035049975,0.007942321,0.001052871,0.190863342,0.141138242,0.059159227,0.041626614,0.077271685,0.041626614,0.037284631,0.036020105,0.050458865,0.036087069,0.051560234,0.036087587,0.027801938,0.03198291,0.027801938,0.03198291,0.007208735,0.001584622,0.01109006,0.001522358,0.05787747,0.037140459,14
1,15,5.275318557,4.40729383,77.6052186,26.88651872,0.056725413,0.034119174,0.043266956,0.001945525,0.064787247,0.413413442,0.062455177,0.040543221,0.22049287,0.055832762,0.041537941,0.034703101,0.107337785,0.037187439,0.113038834,0.035812926,0.03059434,0.030136568,0.03059434,0.0299382,0.00641204,0.002363769,0.048940259,0.004817631,0.1488632,0.038517587,15
1,16,3.865461215,2.868619818,36.74532694,13.73444726,0.057698175,0.032959487,0.032501718,0.001441978,0.122547738,0.175553093,0.060212102,0.039871823,0.163271531,0.039871823,0.044947223,0.033356044,0.091634232,0.034250492,0.088921953,0.03417258,0.034897383,0.028717479,0.034897383,0.028610665,0.006325175,0.002774635,0.036856603,0.002165655,0.126195922,0.035751887,16
1,17,3.345067527,3.050904103,36.95677121,15.02955675,0.043465326,0.033638515,0.039459832,0.001129169,0.419615933,0.059183613,0.05551232,0.036514841,0.162462801,0.03913939,0.03635943,0.033162001,0.085153851,0.034630315,0.088349737,0.034729533,0.030060273,0.028961623,0.030060273,0.028961623,0.004382529,0.001787807,0.039334858,0.001793289,0.121141374,0.035866331,17
1,18,5.093049534,3.9702907,58.5829099,21.71030753,0.057587549,0.033005264,0.024139773,0.00106813,0.118597101,0.152011126,0.102906846,0.037720304,0.181612879,0.039154649,0.042798736,0.033363787,0.091679045,0.033975442,0.10001526,0.034027617,0.0312047,0.028915847,0.0312047,0.027862974,0.012239833,0.001863853,0.035277056,0.001769627,0.117814908,0.03511101,18
1,19,4.319859635,3.807431148,43.17381559,20.66619368,0.051361866,0.032059204,0.017929353,0.001022357,0.211264222,0.170093665,0.048264287,0.036987871,0.123323418,0.037644006,0.037240169,0.032822682,0.069188807,0.0331189,0.06868086,0.033081561,0.029343098,0.027527276,0.029343098,0.027527276,0.00475454,0.001914349,0.022744886,0.001516402,0.086854354,0.034134433,19
1,20,5.01115435,3.704646384,62.86385912,21.81269558,0.065796902,0.031654842,0.020988785,0.001235981,0.300156513,0.225063122,0.063721679,0.035889219,0.168230712,0.037750822,0.043957494,0.032496898,0.094817284,0.032899993,0.10328069,0.032898452,0.033249408,0.02949569,0.033249408,0.028580148,0.006822662,0.001536658,0.031909387,0.001630072,0.119447626,0.034134433,20
